Meal_ID,Dish_Name,Calories,Carbohydrates,Protein,Fats,Sodium,Fibre,Calcium,Iron,,
1,Dal Tadka,150,22,8,4,300,5,60,2.5,,
2,Dal Makhani,200,25,10,8,350,7,80,3,,
3,Moong Dal Soup,120,18,7,3,250,6,50,1.8,,
4,Palak Dal,140,20,8,4,280,5,70,2.2,,
5,Rajma (Kidney Bean Curry),180,30,9,3,250,10,70,3.5,,
6,Chana Masala (Chickpea Curry),160,28,7,4,200,8,50,2.8,,
7,Kala Chana Curry (Black Chickpea Curry),170,25,8,5,220,9,60,3.2,,
8,Split Pea Soup,130,22,8,2,200,7,40,2,,
9,Sambar (Lentil Vegetable Stew),150,25,6,4,300,6,60,2.5,,
10,Rasam,50,8,2,1,350,2,20,0.8,,
11,Vegetable Khichdi,180,30,7,4,200,5,50,1.5,,
12,Pongal,200,35,6,5,150,3,40,1.2,,
13,Spinach Paneer (Palak Paneer),180,10,12,10,200,4,300,2,,
14,Saag Paneer,170,12,11,9,180,4,280,1.8,,
15,Baingan Bharta (Roasted Eggplant),120,15,3,6,150,5,40,1.5,,
16,Bhindi Masala (Okra Curry),100,12,3,5,120,4,60,1.2,,
17,Mixed Vegetable Curry,130,18,4,5,180,4,50,1,,
18,Aloo Gobi (Potato & Cauliflower),130,20,4,4,180,4,50,1.2,,
19,Lauki (Bottle Gourd Curry),80,10,2,3,100,3,30,0.8,,
20,Tori ki Sabzi (Ridge Gourd),70,8,2,3,90,3,25,0.7,,
21,Avial (Vegetable Coconut Curry),160,20,4,7,150,5,60,1.5,,
22,Tinda Masala (Apple Gourd),90,12,3,3,110,3,35,0.9,,
23,Bharwa Bhindi (Stuffed Okra),110,14,4,5,130,4,40,1,,
24,Bhindi do Pyaza,120,15,4,5,140,4,45,1.1,,
25,Stuffed Capsicum,140,18,5,6,160,4,50,1.3,,
26,Karela Sabzi (Bitter Gourd),90,12,3,4,100,4,35,1,,
27,Paneer Bhurji,160,6,12,10,180,1,250,1.5,,
28,Methi Thepla,120,18,4,4,200,3,100,1.8,,
29,Matar Paneer,170,15,10,8,190,4,200,2,,
30,Kadai Paneer,190,12,11,10,210,2,220,1.8,,
31,Vegetable Kofta,200,25,6,9,220,5,80,2.2,,
32,Malai Kofta (light version),180,22,7,8,200,4,90,2,,
33,Tofu Curry (for vegan option),150,10,12,7,180,3,200,2.5,,
34,Aloo Baingan (Potato-Eggplant),140,20,4,5,160,4,50,1.2,,
35,Healthy Dhokla,90,15,5,2,150,3,60,1,,
36,Sprouts Salad,70,10,6,2,50,4,40,1.5,,
37,Ragi Dosa,110,20,3,2,150,4,120,2.5,,
38,Oats Idli,100,18,4,2,120,3,50,1.5,,
39,Moong Dal Chilla,130,15,8,4,140,4,70,2,,
40,Vegetable Upma,150,25,4,4,180,3,40,1,,
41,Semolina Idli,120,22,4,2,130,2,30,0.8,,
42,Broken Wheat Pongal,180,30,6,4,160,4,50,1.5,,
43,Tawa Pulao,200,35,5,6,220,4,60,1.8,,
44,Lemon Rice,220,40,4,5,250,2,30,1,,
45,Vegetable Pulao,220,40,5,5,250,3,30,1,,
46,Brown Rice Biryani,250,45,8,6,300,4,40,1.5,,
